extraction_group,date_extracting_date,tube_stuffer,adj_abs_diff_mean_obs,adj_abs_diff_mean_perm_mean,adj_abs_diff_mean_perm_sd,adj_abs_diff_mean_p_value,high_low_transition_obs,high_low_transition_perm_mean,high_low_transition_perm_sd,high_low_transition_p_value,period2_corr_obs,period2_corr_perm_mean,period2_corr_perm_sd,period2_corr_p_value,period3_corr_obs,period3_corr_perm_mean,period3_corr_perm_sd,period3_corr_p_value
2022-02-15|Jem_Baldisimo,2022-02-15,Jem_Baldisimo,0.015551742857142873,0.018414459342857147,0.002993738901314946,0.379,0.14285714285714285,0.32057142857142856,0.14621144260698107,0.349,-0.3273268353539886,0.01767564910911538,0.36506605649739465,0.402,0.5241424183609591,0.019917411897716446,0.37442984237954846,0.213
2022-09-27|Chandy_Jablonski,2022-09-27,Chandy_Jablonski,0.05234353000000001,0.05207604834,0.005941081851279823,0.968,0.25,0.2342,0.07785513098968763,1,-0.26768057935155376,0.005400849336328409,0.21755492281711905,0.218,-0.019262853213235488,-7.31988422102948e-4,0.22412968096897998,0.949
2022-09-27|John_Schaefer,2022-09-27,John_Schaefer,0.07458800500000001,0.099626569895,0.01171527395489219,0.03,0.25,0.2335,0.08095865799470928,1,-0.09447549859466603,-0.007794228634059949,0.2244194218128283,0.714,-0.2407856651654436,0.001733656789191194,0.22534430654964907,0.288
2022-10-05|Chandy_Jablonski,2022-10-05,Chandy_Jablonski,0.0191800090909091,0.057347592109090906,0.013254114935534573,0,0.2727272727272727,0.2409090909090909,0.10882288791118357,1,-0.4828045495852676,2.896827297511606e-4,0.3030203642573787,0.102,0.2956561979945413,-0.00851489850224279,0.2952579570092247,0.343
2022-10-05|John_Schaefer,2022-10-05,John_Schaefer,0.004714245454545451,0.00547625592727273,7.71870224623776e-4,0.338,0.09090909090909091,0.23945454545454545,0.10560308478282193,0.226,0.04828045495852676,-0.014049612392931286,0.2916347533888283,0.878,0,0.01566977849371069,0.29331646482007884,0.963
2022-11-09|Chandy_Jablonski,2022-11-09,Chandy_Jablonski,0.08740964285714284,0.09298345891142856,0.0077042350374383044,0.477,0.2571428571428571,0.2316,0.060048831701535466,0.795,0.10695798913597544,0.006369348253047337,0.16847147365382037,0.552,-0.15392059216215578,-0.005226750321080865,0.17811090672742888,0.422
2022-11-09|John_Schaefer,2022-11-09,John_Schaefer,0.09397947749999998,0.11586025721749998,0.011360839263755173,0.049,0.15,0.237975,0.05710109377157245,0.141,-0.2969229955832361,8.990168477381317e-4,0.15800469544637852,0.062,-0.23125962176356651,-0.003072449260573098,0.15824969748026707,0.151
2022-12-01|Chandy_Jablonski,2022-12-01,Chandy_Jablonski,0.13251811111111114,0.12788225901111114,0.022051533289639588,0.827,0.2222222222222222,0.19755555555555554,0.10907465331618262,1,-0.034815531191139566,-0.003968970555789911,0.3289584670851419,1,0.020956487115397715,-0.008843637562697836,0.3389224907740894,0.946
2022-12-01|John_Schaefer,2022-12-01,John_Schaefer,0.11938847272727274,0.16726511040909092,0.031927446002757286,0.137,0.18181818181818182,0.245,0.10394222339350744,0.669,-0.14484136487558028,-0.002510583657843391,0.29440976661298224,0.683,-0.05913123959890826,-0.02119854939620861,0.3063064494075189,0.928
2023-02-28|Chandy_Jablonski,2023-02-28,Chandy_Jablonski,0.08299652222222223,0.07582748902777778,0.008481223562005227,0.403,0.2222222222222222,0.2061111111111111,0.07832915449625649,1,0.2116950987028628,-0.0070436732841134345,0.2372637523142469,0.392,0.3142936330963102,0.005098541159117921,0.24125060503334433,0.2
2023-02-28|David_Baker,2023-02-28,David_Baker,0.1379548,0.1453132033952381,0.021005623890706204,0.738,0.23809523809523808,0.21742857142857142,0.07302961217177026,1,0.23643312187173018,0.01024543528110831,0.21371448442196533,0.304,-0.10862483297722741,-0.01505105685732463,0.22086933667810266,0.68
2023-02-28|John_Schaefer,2023-02-28,John_Schaefer,0.09774080909090908,0.08783670503636364,0.010295582064669632,0.313,0.3181818181818182,0.25036363636363634,0.07439306228504039,0.557,0.36740471675703457,0.00787295821622217,0.21015314274777727,0.105,-0.20320502773823598,5.771022787765907e-4,0.21458588368099565,0.361
2023-03-01|Gabe_Salomon,2023-03-01,Gabe_Salomon,0.09815975,0.10242990950833333,0.01147515925205577,0.71,0.16666666666666666,0.21125,0.07139527144555713,0.593,0.011102889792108188,0.0022094750686295294,0.20395583703774087,0.974,-0.033673278652522835,0.011826055462766018,0.20463223562157534,0.84
2023-03-01|John_Schaefer,2023-03-01,John_Schaefer,0.1353077,0.10270779825333334,0.014771711670802006,0.026,0.3333333333333333,0.20826666666666666,0.08532974633768987,0.233,-0.18981415059132414,-0.010249964131931504,0.25330808430409224,0.495,-0.3197688240594072,0.005395074005925383,0.2654230770170041,0.236
NA|NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
