extraction_group,date_extracting_date,tube_stuffer,n_group,n_nonmissing_admixedness,n_missing_admixedness,adj_abs_diff_mean,adj_abs_diff_median,high_low_transition_rate,period2_corr,period3_corr
2022-02-15|Jem_Baldisimo,2022-02-15,Jem_Baldisimo,8,8,0,0.015551742857142873,0.008927000000000004,0.14285714285714285,-0.3273268353539886,0.5241424183609591
2022-09-27|Chandy_Jablonski,2022-09-27,Chandy_Jablonski,22,21,1,0.05234353000000001,0.035767800000000016,0.25,-0.26768057935155376,-0.019262853213235488
2022-09-27|John_Schaefer,2022-09-27,John_Schaefer,21,21,0,0.07458800500000001,0.045256799999999986,0.25,-0.09447549859466603,-0.2407856651654436
2022-10-05|Chandy_Jablonski,2022-10-05,Chandy_Jablonski,12,12,0,0.0191800090909091,0.005146399999999999,0.2727272727272727,-0.4828045495852676,0.2956561979945413
2022-10-05|John_Schaefer,2022-10-05,John_Schaefer,12,12,0,0.004714245454545451,0.0030476999999999796,0.09090909090909091,0.04828045495852676,0
2022-11-09|Chandy_Jablonski,2022-11-09,Chandy_Jablonski,36,36,0,0.08740964285714284,0.041724900000000065,0.2571428571428571,0.10695798913597544,-0.15392059216215578
2022-11-09|John_Schaefer,2022-11-09,John_Schaefer,41,41,0,0.09397947749999998,0.03592544999999996,0.15,-0.2969229955832361,-0.23125962176356651
2022-12-01|Chandy_Jablonski,2022-12-01,Chandy_Jablonski,10,10,0,0.13251811111111114,0.0982512000000001,0.2222222222222222,-0.034815531191139566,0.020956487115397715
2022-12-01|John_Schaefer,2022-12-01,John_Schaefer,12,12,0,0.11938847272727274,0.06563470000000005,0.18181818181818182,-0.14484136487558028,-0.05913123959890826
2023-02-28|Chandy_Jablonski,2023-02-28,Chandy_Jablonski,32,19,13,0.08299652222222223,0.053216549999999974,0.2222222222222222,0.2116950987028628,0.3142936330963102
2023-02-28|David_Baker,2023-02-28,David_Baker,32,22,10,0.1379548,0.09900220000000004,0.23809523809523808,0.23643312187173018,-0.10862483297722741
2023-02-28|John_Schaefer,2023-02-28,John_Schaefer,32,23,9,0.09774080909090908,0.06490989999999999,0.3181818181818182,0.36740471675703457,-0.20320502773823598
2023-03-01|Gabe_Salomon,2023-03-01,Gabe_Salomon,38,25,13,0.09815975,0.0738605,0.16666666666666666,0.011102889792108188,-0.033673278652522835
2023-03-01|John_Schaefer,2023-03-01,John_Schaefer,36,16,20,0.1353077,0.1318589,0.3333333333333333,-0.18981415059132414,-0.3197688240594072
NA|NA,NA,NA,6,0,6,NA,NA,NA,NA,NA
