subsampling_group,date_subsampling_date,subsampler,adj_abs_diff_mean_obs,adj_abs_diff_mean_perm_mean,adj_abs_diff_mean_perm_sd,adj_abs_diff_mean_p_value,high_low_transition_obs,high_low_transition_perm_mean,high_low_transition_perm_sd,high_low_transition_p_value,period2_corr_obs,period2_corr_perm_mean,period2_corr_perm_sd,period2_corr_p_value,period3_corr_obs,period3_corr_perm_mean,period3_corr_perm_sd,period3_corr_p_value
2022-02-11|Hunter_Martin,2022-02-11,Hunter_Martin,0.014751837500000014,0.01849052895000001,0.002837317419388637,0.186,0.125,0.25675,0.12067622073238062,0.352,-0.17320508075688773,0.011518137870333034,0.3513520752475795,0.64,0.26352313834736496,-0.006798896969362015,0.3523849775382271,0.478
2022-02-14|Hunter_Martin,2022-02-14,Hunter_Martin,0.054891725,0.07703118437,0.006007340466055345,0.001,0.175,0.239825,0.057165218771882936,0.286,0.06185895741317419,4.8249986782275897e-4,0.16054408161073852,0.707,-0.06099154859698457,7.700183010369303e-4,0.1618865449523011,0.701
2022-09-22|John_Schaefer,2022-09-22,John_Schaefer,0.011387139130434789,0.03438034326086956,0.005311465499536537,0.002,0.21739130434782608,0.23565217391304347,0.07335397833076135,1,-0.1805787796286538,-0.003443035398252999,0.21585949258239545,0.431,0.21379083642460084,0.005182584758844634,0.21035464024475092,0.341
2022-09-29|John_Schaefer,2022-09-29,John_Schaefer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-30|John_Schaefer,2022-09-30,John_Schaefer,0.034864384615384596,0.03140737830512821,0.0027000934522032703,0.196,0.28205128205128205,0.21771794871794872,0.053750301213554806,0.238,0.20791107927562077,-0.0022177181789399553,0.15920609961426427,0.188,-0.10944697573009561,0.0028772686872658867,0.15967090704302928,0.511
2022-10-12|David_Baker,2022-10-12,David_Baker,0.09393869999999999,0.09376253030909089,0.01349663410398266,0.993,0.2727272727272727,0.2429090909090909,0.10953952710737799,1,0.28968272975116055,0.01800860969953048,0.31165974416307946,0.439,0.5321811563901744,0.019956793364631537,0.298931083169336,0.093
2022-10-12|Gabe_Salomon,2022-10-12,Gabe_Salomon,0.1519938882352941,0.16993223267058824,0.025523653498878335,0.498,0.23529411764705882,0.2333529411764706,0.08764767333245162,1,-0.46045300577898546,-2.569970264812945e-4,0.2424353751704653,0.051,-0.07868894753646337,0.015501722664683285,0.2383231391654947,0.704
2022-10-13|Gabe_Salomon,2022-10-13,Gabe_Salomon,0.09956333999999997,0.15168589064,0.03175111058049264,0.036,0.2,0.2712,0.1561888438876316,1,-0.09759000729485331,0.008197560612767678,0.4411821930242963,0.841,-0.8366600265340756,-0.005259005881071332,0.44973360721689176,0.069
2022-11-17|Gabe_Salomon,2022-11-17,Gabe_Salomon,0.13636116666666667,0.14684993956666667,0.020111167200452036,0.601,0.19047619047619047,0.21223809523809523,0.07353305418588098,1,-0.12179888096422464,0.009629276236230467,0.220378061067093,0.562,0.004344993319089096,-4.692592784616226e-4,0.2266656767943466,0.985
2022-12-07|Gabe_Salomon,2022-12-07,Gabe_Salomon,0.11412165833333333,0.13145353484166666,0.02234948333466411,0.469,0.16666666666666666,0.20733333333333334,0.0962920611989318,1,-0.041239304942116126,0.007505553499465135,0.284905416351347,0.879,0.07444375004781977,0.003846260419137355,0.29202607649404394,0.84
2022-12-12|Gabe_Salomon,2022-12-12,Gabe_Salomon,0.09220192962962964,0.0869091806962963,0.010002961895921826,0.61,0.25925925925925924,0.21740740740740738,0.0671421968965609,0.576,0.3713906763541037,-0.006835356971945766,0.19117377922087042,0.053,0.16385598943785085,-0.008364713952614221,0.19449461090900627,0.411
2022-12-13|Gabe_Salomon,2022-12-13,Gabe_Salomon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-05|Gabe_Salomon,2023-01-05,Gabe_Salomon,0.1342653392857143,0.13523064804999999,0.019027315112766424,0.95,0.25,0.24796428571428572,0.06673166493427854,1,0.3546580225021987,-7.093160450043973e-4,0.18636646861463357,0.058,-0.09173649445877259,0.005555154386670118,0.19393907036067543,0.608
2023-01-10|David_Baker,2023-01-10,David_Baker,0.08534900588235293,0.07814098246176471,0.006790465226638065,0.293,0.2647058823529412,0.24011764705882352,0.06410046892020783,0.824,-0.07924415459465452,0.0044320123605438915,0.1705948332114909,0.625,-0.3352301896760449,-0.005489394355945235,0.17130206298207581,0.051
